"DAX" "Dow Jones" "Nikkei" "VIX"
4704.560059 8185.72998 8493.769531 5951.374632
4769.450195 8168.120117 8828.259766 5998.719828
4769.450195 8212.410156 8977.370117 5921.944112
4902.450195 8426.740234 8977.370117 5606.525065
4853.029785 8410.650391 8977.370117 5654.509704
4880.709961 8512.280273 8977.370117 5460.011908
4804.100098 8409.849609 9385.700195 5538.706931
4913.899902 8574.650391 9432.830078 5287.907334
4866.910156 8418.769531 9451.980469 5335.252041
4854.109863 8469.110352 9298.610352 5307.740829
4727.609863 8284.889648 9340.490234 5472.168173
4738.470215 8331.320312 9093.730469 5241.20207
4737.5 8268.639648 9265.019531 5337.811281
4851.959961 8504.080078 9038.69043 4982.724755
4959.620117 8474.849609 9290.290039 4886.116033
5038.939941 8422.040039 9344.639648 4950.734996
4900.669922 8292.129883 9264.150391 5227.126498
4918.75 8277.320312 9225.80957 5362.123322
4918.450195 8277.320312 9347 5362.123322
4985.600098 8473.490234 9310.80957 5029.430019
5000.77002 8300.019531 9438.769531 5172.104073
4932.879883 8403.799805 9451.389648 5097.888085
4940.819824 8500.330078 9522.5 4985.923927
5142.560059 8721.44043 9677.75 4760.076303
5144.060059 8740.870117 9704.30957 4824.695754
5054.529785 8675.240234 9741.669922 5057.581164
5064.799805 8750.240234 9668.959961 4960.332021
5077.029785 8763.129883 9768.009766 4948.815689
5004.720215 8764.490234 9865.629883 4973.767662
4997.859863 8763.05957 9786.820312 4751.119209
5051.180176 8739.019531 9991.490234 4798.463917
5107.259766 8770.919922 9981.330078 4690.338374
5069.240234 8799.259766 10135.820312 4600.127506
4889.939941 8612.129883 10039.669922 4804.221839
4890.720215 8504.669922 9752.879883 4977.606765
4799.97998 8497.179688 9840.849609 5051.182821
4837.47998 8555.599609 9703.719727 5002.558738
4839.459961 8539.730469 9786.259766 4863.722811
4693.399902 8339.009766 9826.269531 5058.220607
4707.149902 8322.910156 9549.610352 4939.218663
4836.009766 8299.860352 9590.320312 4761.355679
4800.560059 8472.400391 9796.080078 4536.787919
4776.470215 8438.389648 9877.389648 4465.770614
4885.089844 8529.379883 9783.469727 4284.068526
4808.640137 8447 9958.44043 4357.645071
4905.439941 8504.05957 9939.929688 4340.370327
4718.490234 8280.740234 9876.150391 4579.654079
4708.209961 8280.740234 9816.070312 4579.654079
4651.819824 8324.870117 9680.870117 4521.432483
4598.189941 8163.600098 9647.790039 4660.267922
4572.649902 8178.410156 9420.75 4760.076303
4630.069824 8183.169922 9291.05957 4682.021212
4576.310059 8146.52002 9287.280273 4680.101904
4722.339844 8331.679688 9050.330078 4523.35179
4781.689941 8359.490234 9261.80957 4423.543897
4928.439941 8616.209961 9269.25 4314.138978
4957.189941 8711.820312 9344.160156 4242.481741
4978.399902 8743.94043 9395.320312 4243.761605
5030.149902 8848.150391 9395.320312 4161.227967
5093.970215 8915.94043 9652.019531 4101.087063
5121.560059 8881.259766 9723.160156 3927.062938
5247.279785 9069.290039 9792.94043 3814.458848
5229.359863 9093.240234 9944.549805 3798.463968
5251.549805 9108.509766 10088.660156 3838.771133
5174.740234 9096.719727 10087.259766 4001.918858
5270.319824 9070.719727 10113.240234 4044.785262
5360.660156 9154.459961 10165.209961 3941.138266
5332.140137 9171.610352 10356.830078 3964.810864
5426.850098 9286.55957 10352.469727 3894.433247
5417.02002 9320.19043 10375.009766 3851.567086
5353.009766 9280.969727 10252.530273 3835.572206
5369.97998 9256.259766 10388.089844 3886.116085
5458.959961 9370.070312 10412.089844 3728.086595
5418.120117 9337.950195 10524.259766 3733.20483
5285.810059 9241.450195 10585.459961 3838.771133
5350.089844 9361.610352 10435 3749.839641
5401.109863 9398.19043 10517.19043 3663.467144
5309.109863 9321.400391 10597.330078 3766.474209
5201.609863 9135.339844 10268.610352 3971.208718
5250.740234 9217.94043 10284.959961 3893.153627
5231.97998 9279.160156 10204 3767.753828
5311.060059 9350.049805 10383.410156 3697.376455
5462.740234 9505.959961 10238.200195 3630.198009
5519.75 9509.280273 10581.049805 3644.273337
5557.089844 9539.290039 10497.360352 3727.446663
5521.970215 9543.519531 10639.709961 3771.592687
5470.330078 9580.629883 10473.969727 3679.462024
5517.350098 9544.200195 10534.139648 3743.441543
5458.040039 9496.280273 10492.530273 3785.668016
5327.290039 9310.599609 10530.05957 3989.762837
5319.839844 9280.669922 10280.459961 4010.875951
5301.419922 9344.610352 10214.639648 3820.217014
5384.430176 9441.269531 10187.110352 3711.451783
5463.509766 9441.269531 10320.94043 3711.451783
5481.72998 9497.339844 10393.230469 3587.331605
5574.259766 9547.219727 10312.139648 3471.528588
5594.77002 9627.480469 10513.669922 3333.972768
5624.02002 9605.410156 10444.330078 3377.478861
5620.240234 9626.799805 10202.05957 3281.509582
5628.97998 9683.410156 10217.620117 3262.955463
5700.259766 9791.709961 10270.769531 3168.265805
5731.140137 9783.919922 10443.799805 3183.620753
5703.830078 9820.200195 10370.540039 3243.761657
5668.649902 9778.860352 10370.540039 3244.401344
5709.379883 9829.870117 10370.540039 3170.185112
5702.049805 9748.549805 10370.540039 3214.331136
5605.209961 9707.44043 10544.219727 3253.99837
5581.410156 9665.19043 10265.980469 3259.116604
5736.310059 9789.360352 10009.519531 3150.351618
5713.52002 9742.200195 10100.200195 3131.797498
5675.160156 9712.280273 10133.230469 3198.336257
5554.549805 9509.280273 9978.639648 3349.327716
5467.899902 9487.669922 9731.870117 3341.650242
5508.850098 9599.75 9674.490234 3221.368679
5657.640137 9731.25 9691.799805 3108.125145
5640.75 9725.580078 9799.599609 3092.769953
5716.540039 9786.870117 9832.469727 3076.135385
5711.879883 9864.94043 10016.389648 3027.510814
5783.22998 9885.799805 10016.389648 2923.864062
5714.310059 9871.05957 10076.55957 2925.143682
5854.140137 10015.860352 10060.209961 2847.728278
5830.77002 10062.94043 10238.650391 2795.905024
5743.390137 9995.910156 10257.55957 2854.126377
5852.560059 10092.19043 10236.509766 2777.350905
5811.77002 10041.480469 10336.839844 2763.915265
5833.490234 9949.360352 10333.389648 2815.738519
5762.930176 10081.30957 10267.169922 2692.258272
5740.25 9972.179688 10282.990234 2707.61322
5642.160156 9867.959961 10362.620117 2795.905024
