time value.DAX value.Dow.Jones value.Nikkei value.VIX
2009-01-30 100 100 100 100
2009-02-02 98.448487155727 99.198712837148 98.4980100458606 99.6844503395552
2009-02-03 100.843866036005 100.968645887155 97.8916813991504 95.0181688702775
2009-02-04 103.559877315369 99.4475630400127 100.561544362307 95.3719603232131
2009-02-05 103.967871013438 100.777540940164 99.4445881113697 94.7886742353508
2009-02-06 107.059821777436 103.496248975608 101.032897142427 93.4212997016992
2009-02-09 107.571305186998 103.374765445507 99.687016961236 94.9799197694383
2009-02-10 103.85376784315 98.6004006829585 99.3981790810221 100.019120896245
2009-02-11 104.419646678317 99.2334564153083 99.3981790810221 98.5561272646699
2009-02-12 101.595306036548 99.1488402725946 96.3886897249572 98.2597058088189
2009-02-13 101.729690718935 98.1195807753645 97.3148790883722 97.5234232877085
2009-02-16 101.729690718935 98.1195807753645 96.94923237972 97.5234232877085
2009-02-17 97.1936335876598 94.3973551258787 95.6400066611794 102.400071202265
2009-02-18 96.9253256655913 94.4352233681911 94.2506004439386 103.480588367417
2009-02-19 97.1615905996898 93.3143477431258 94.540940904233 103.537958379447
2009-02-20 92.538864345014 92.0609790462968 92.773751276372 108.357236281973
2009-02-23 90.7361061712083 88.9251893774858 92.2706304805165 114.151840841081
2009-02-24 89.797962635518 91.8768740719287 90.9246281459714 103.346720153708
2009-02-25 88.6560529721454 90.8763590601587 93.3346726252977 102.744305861252
2009-02-26 90.8783299627563 89.7663526293411 93.2935165269464 103.767445720971
2009-02-27 88.5991195540439 88.2771389193122 94.6756663595743 103.910878051922
2009-03-02 85.5179961089438 84.5320397408391 91.0696090165278 111.292787677312
2009-03-03 85.0719717779678 84.0662145715675 90.4387687261851 110.824248891967
2009-03-04 89.6870896333088 85.9387611048825 91.204835331896 103.088540505293
2009-03-05 85.1819218486687 82.4216403476332 92.987789860286 109.294321131119
2009-03-06 84.5116191450347 82.827846687408 89.7304904644637 108.414606294003
2009-03-09 85.1021689259713 81.8293273111413 88.6413014410785 108.835339169614
2009-03-10 89.5958115918749 86.5718229365768 88.2528899880928 100.726711125411
2009-03-11 90.2209367520712 86.6206885343619 92.2701296204897 99.9808717954061
2009-03-12 91.1918098270547 89.6161185394331 90.0450982366628 98.2405776042251
2009-03-13 91.1314211322555 90.290045116367 94.6864226473255 99.6844503395552
2009-03-16 93.227608368088 90.2024324707261 96.3735539548593 103.19372372046
2009-03-17 91.9190459487901 92.4363171163819 99.438083035561 99.6175162401736
2009-03-18 92.1161265855958 93.5721935666154 99.7262978898841 99.8661317713457
2009-03-19 93.2027123136986 92.500055390609 99.3984295172902 104.551534151814
2009-03-20 93.7854229854734 90.9699708234972 99.3984295172902 110.881618903998
2009-03-23 96.2663229720747 97.1878022630978 102.770566526387 103.863072142189
2009-03-24 96.5196392271429 95.7393373482712 106.182723551345 105.565117217585
2009-03-25 97.3478383163903 96.8622147081843 106.078776600767 103.882193038434
2009-03-26 98.1794926823354 99.0463549505117 108.034479252284 99.7896335547217
2009-03-27 96.8928212349173 97.1918057452921 107.917387775144 102.610437632597
2009-03-30 91.9526983734912 94.0151452318969 103.027630286324 110.240962789159
2009-03-31 94.1546882507959 95.1012772663033 101.444574187263 108.252053066806
2009-04-01 95.2221404608273 97.0095743570456 104.476583955934 106.301392445292
2009-04-02 101.004294789858 99.7152832896706 109.07838311873 104.561098254111
2009-04-03 101.075066210574 100.209102287585 109.45440743348 102.715620847764
2009-04-06 100.264154822482 99.6874115354069 110.80653616218 103.289342848275
2009-04-07 99.6346514771294 97.3590363083703 110.492801827121 103.279786039381
2009-04-08 100.451089090505 97.9533449803656 107.517590903976 101.147443986076
2009-04-09 103.521385216708 101.031389393303 111.533700533406 97.3991191613511
2009-04-10 103.521385216708 101.031389393303 112.134782377679 97.3991191613511
2009-04-13 103.521385216708 100.711800943588 111.638404884819 95.9743746306148
2009-04-14 105.040157273172 98.9916122969095 110.615769274657 96.041308744942
2009-04-15 104.873740851331 100.359464538718 109.368344884862 93.7081643486562
2009-04-16 106.249146723428 101.556961565795 109.522206885975 90.7534920570717
2009-04-17 107.802269027482 101.630702414916 111.427627989366 88.6689632069035
2009-04-20 103.410275880414 98.0110902362395 111.642411765034 95.2285280072074
2009-04-21 103.763637818794 99.6087944978921 108.972677059772 91.8626869423087
2009-04-22 105.902470252874 98.5715280487722 109.172447231207 92.0539251829932
2009-04-23 104.606817303475 99.4525612902864 110.669935537135 91.6331996007849
2009-04-24 107.744181968045 100.942775867739 108.93089793553 91.4228331704521
2009-04-27 108.199424158138 100.301719282844 109.160438787134 94.014149906804
2009-04-28 106.202123340024 100.201107534384 106.251146017222 92.8571418034853
2009-04-29 108.441226566035 102.310628109548 106.251146017222 88.9462564581605
2009-04-30 109.936959610492 102.090528478989 110.435386085263 89.6538539807286
2009-05-01 109.936959610492 102.644094467625 112.300652810356 88.5064026863039
2009-05-04 113.002641194404 105.32293251341 112.300652810356 83.79230801389
2009-05-05 111.86348900789 105.121831090869 112.300652810356 84.5094623304066
2009-05-06 112.501523637985 106.392068087145 112.300652810356 81.6025959485554
2009-05-07 110.735648103059 105.111822391633 117.408577929169 82.7787322415224
2009-05-08 113.26655965975 107.171610774656 117.998139967806 79.0304074167973
2009-05-11 112.183434855653 105.223309433685 118.237698032456 79.7379976310169
2009-05-12 111.888385062279 105.852502068752 116.319144599075 79.3268288726482
2009-05-13 108.972530021942 103.549990749288 116.843032778678 81.7842773803459
2009-05-14 109.222863714583 104.130311674727 113.756239838688 78.3323739965261
