time value
2013-01-02 100
2013-01-03 99.8584028537968
2013-01-04 101.049285569317
2013-01-07 99.9832803194578
2013-01-08 99.47468149521
2013-01-09 100.086014041247
2013-01-10 100.451430010729
2013-01-11 100.666711956115
2013-01-14 100.768579255551
2013-01-15 99.0795256940587
2013-01-16 98.2127033994708
2013-01-17 99.0996900257673
2013-01-18 99.792961850566
2013-01-21 98.7583593126976
2013-01-22 98.4579033994747
2013-01-23 97.8190930700048
2013-01-24 99.0296785286507
2013-01-25 100.621756627715
2013-01-28 98.6845882031045
2013-01-29 99.0157555285814
2013-01-30 99.9915216470821
2013-01-31 99.427851930768
2013-02-01 99.8552890179309
2013-02-04 97.689222585409
2013-02-05 97.1580883205245
2013-02-06 98.6399550447561
2013-02-07 97.6893648378541
2013-02-08 97.4422810014954
2013-02-11 97.3172459097835
2013-02-12 99.1401814571167
2013-02-13 98.3237041386199
2013-02-14 98.2200444952988
2013-02-15 97.6538232511311
2013-02-18 98.9201829459537
2013-02-19 99.3765341473881
2013-02-20 99.7836597382382
2013-02-21 98.0866191330393
2013-02-22 99.6216042901543
2013-02-25 101.68910298525
2013-02-26 99.0868853927582
2013-02-27 100.448956188972
2013-02-28 102.326981855047
2013-03-01 101.873584256931
2013-03-04 101.672218667765
2013-03-05 103.07557936263
2013-03-06 104.526757339409
2013-03-07 104.71723553652
2013-03-08 105.984414300327
2013-03-11 105.35558773946
2013-03-12 105.000246491883
2013-03-13 104.560058057262
2013-03-14 106.029066408243
2013-03-15 106.76903038843
2013-03-18 105.081607878155
2013-03-19 106.587955998812
2013-03-20 106.936039085695
2013-03-21 107.08340489869
2013-03-22 105.44029206191
2013-03-25 106.457938375545
2013-03-26 106.199288349885
2013-03-27 106.340420376483
2013-03-28 105.723888536705
2013-03-29 106.285378876696
2013-04-01 104.980858546891
2013-04-02 105.621165511198
2013-04-03 107.05042545556
2013-04-04 107.931167406051
2013-04-05 106.795200454443
2013-04-08 106.106633783274
2013-04-09 105.231123099027
2013-04-10 106.288517865247
2013-04-11 107.538958321518
2013-04-12 106.26281432221
2013-04-15 105.77667122131
2013-04-16 105.740779352413
2013-04-17 105.481462427797
2013-04-18 104.184610859492
2013-04-19 104.738161568528
2013-04-22 105.124495832382
2013-04-23 106.035797486997
2013-04-24 108.501522570189
2013-04-25 109.178085688377
2013-04-26 108.824463076933
2013-04-29 109.199190768787
2013-04-30 110.080434023509
2013-05-01 109.746731417963
2013-05-02 109.474743215291
2013-05-03 110.504855868137
2013-05-06 110.437586436854
2013-05-07 112.182057183589
2013-05-08 113.222889583962
2013-05-09 112.868320905885
2013-05-10 114.548400550743
2013-05-13 114.427222945644
2013-05-14 114.666210663702
2013-05-15 116.210701207118
2013-05-16 116.063347503104
2013-05-17 116.778019611327
2013-05-20 117.708043623379
2013-05-21 118.201145721662
2013-05-22 119.486313071408
2013-05-23 113.289444467841
2013-05-24 114.032168545048
2013-05-27 112.863303776434
2013-05-28 114.355755325934
2013-05-29 113.100529729004
2013-05-30 110.596157355765
2013-05-31 111.023302298338
2013-06-03 108.72280020064
2013-06-04 110.018484054558
2013-06-05 107.084528480556
2013-06-06 106.108401498757
2013-06-07 107.288364113125
2013-06-10 110.657045867408
2013-06-11 108.744445474524
2013-06-12 108.403765591701
2013-06-13 105.067693100576
2013-06-14 107.083418309459
2013-06-17 109.51627661725
2013-06-18 109.128709586
2013-06-19 109.608741210709
2013-06-20 106.678212900287
2013-06-21 106.145769365969
2013-06-24 104.987393344466
2013-06-25 105.342311412446
2013-06-26 105.806127990633
2013-06-27 107.98086456726
2013-06-28 109.653274296838
2013-07-01 109.994159590664
2013-07-02 110.22190367648
2013-07-03 109.242935241589
2013-07-04 110.298372340309
2013-07-05 110.507907033208
2013-07-08 110.575654301698
2013-07-09 112.648091795946
2013-07-10 112.509085716884
2013-07-11 113.799874830961
2013-07-12 113.988902693795
2013-07-15 114.130573348762
2013-07-16 114.044898150358
2013-07-17 114.27234962188
2013-07-18 115.519491661057
2013-07-19 114.313778671266
2013-07-22 114.115181955627
2013-07-23 114.829997685276
2013-07-24 115.079397467854
2013-07-25 113.584642508852
2013-07-26 111.476038608721
2013-07-29 110.287316637948
2013-07-30 111.464958868571
2013-07-31 110.591456361061
2013-08-01 112.907505953273
2013-08-02 114.49996641897
2013-08-05 113.281001279937
2013-08-06 113.475013940787
2013-08-07 111.101797714716
2013-08-08 111.030940324986
2013-08-09 111.374914715817
2013-08-12 111.271829313572
2013-08-13 113.054142465568
2013-08-14 113.389572167299
2013-08-15 111.579020074807
2013-08-16 111.333378755772
2013-08-19 111.630442565414
2013-08-20 109.519487641655
2013-08-21 109.580952777194
2013-08-22 109.902040455557
2013-08-23 111.009633832154
2013-08-26 110.628957293654
2013-08-27 109.101383236721
2013-08-28 108.180385297209
2013-08-29 109.200482140822
2013-08-30 108.279724971794
2013-09-02 110.145591248394
2013-09-03 111.045497099011
2013-09-04 111.260744184482
2013-09-05 111.487673757827
2013-09-06 110.773302481229
2013-09-09 112.62870259567
2013-09-10 114.242785165942
2013-09-11 114.086894708472
2013-09-12 113.692654299338
2013-09-13 114.181567495588
2013-09-16 114.845902978334
2013-09-17 114.469965417687
2013-09-18 115.398188289507
2013-09-19 116.885176691565
2013-09-20 116.062738129048
2013-09-23 115.5003912152
2013-09-24 115.905433557964
2013-09-25 115.678413480852
2013-09-26 116.49918572588
2013-09-27 116.183490507818
2013-09-30 114.744154615401
2013-10-01 115.732023389697
2013-10-02 113.821557652383
2013-10-03 113.836122958154
2013-10-04 113.24261511912
2013-10-07 112.556315400075
2013-10-08 112.703453532217
2013-10-09 113.08661136548
2013-10-10 114.77860931366
2013-10-11 115.651586516682
2013-10-14 115.064376457219
2013-10-15 115.826787043535
2013-10-16 116.211427549939
2013-10-17 116.501343607413
2013-10-18 116.565753069718
2013-10-21 117.091679643088
2013-10-22 117.516642969006
2013-10-23 115.923133848618
2013-10-24 116.698814813172
2013-10-25 115.12143208477
2013-10-28 116.279596890785
2013-10-29 116.1379035728
2013-10-30 116.82248643046
2013-10-31 116.083748078644
2013-11-01 115.658906558914
2013-11-04 115.83728760408
2013-11-05 116.295966470514
2013-11-06 117.126184083948
2013-11-07 116.802619349451
2013-11-08 116.303101063743
2013-11-11 117.445433122112
2013-11-12 118.477276146527
2013-11-13 117.865643440322
2013-11-14 119.661344644916
2013-11-15 120.703401874821
2013-11-18 120.624642578387
2013-11-19 120.291115522862
2013-11-20 120.201185134045
2013-11-21 121.248254224892
2013-11-22 121.418037481592
2013-11-25 121.989225231798
2013-11-26 121.412427701499
2013-11-27 121.608134799896
2013-11-28 122.621018138236
2013-11-29 122.143909956201
2013-12-02 121.948045112185
2013-12-03 121.101469277378
2013-12-04 119.17809108871
2013-12-05 118.029248627152
2013-12-06 119.14953627472
2013-12-09 119.788419462874
2013-12-10 118.966191429014
2013-12-11 118.192723484408
2013-12-12 117.331167614638
2013-12-13 117.390803299359
