time value
2013-01-02 100
2013-01-03 99.6745671697225
2013-01-04 100.922756399449
2013-01-07 100.572314334923
2013-01-08 100.15599106027
2013-01-09 100.48559352749
2013-01-10 101.261940742837
2013-01-11 101.198228100271
2013-01-14 100.162775327614
2013-01-15 99.4859098255749
2013-01-16 99.0325591343235
2013-01-17 100.090920674667
2013-01-18 100.544929759626
2013-01-21 99.995937005961
2013-01-22 100.306178051949
2013-01-23 100.290193189376
2013-01-24 101.036929669642
2013-01-25 101.856023306223
2013-01-28 100.279819872968
2013-01-29 100.810288441014
2013-01-30 101.082590714427
2013-01-31 100.303272696383
2013-02-01 100.915399546757
2013-02-04 99.2449694251565
2013-02-05 99.6785389653347
2013-02-06 100.855842828416
2013-02-07 100.078978756495
2013-02-08 100.380208619895
2013-02-11 100.902216787786
2013-02-12 101.835526818786
2013-02-13 101.034414123226
2013-02-14 100.861824610007
2013-02-15 101.049693773558
2013-02-18 101.57348102842
2013-02-19 102.069558074914
2013-02-20 101.71132073234
2013-02-21 100.788876351454
2013-02-22 102.757954345388
2013-02-25 102.661200762216
2013-02-26 102.239022751993
2013-02-27 104.345093513372
2013-02-28 104.925111475778
2013-03-01 104.74292971588
2013-03-04 105.415718139129
2013-03-05 106.467250909082
2013-03-06 107.123939237308
2013-03-07 107.340192086885
2013-03-08 108.224871956261
2013-03-11 108.327237494552
2013-03-12 108.196329730684
2013-03-13 107.895741841928
2013-03-14 108.980178543236
2013-03-15 109.443809071467
2013-03-18 107.787561163285
2013-03-19 109.410848216597
2013-03-20 109.761281114043
2013-03-21 109.618639248537
2013-03-22 109.268400922912
2013-03-25 109.112158609738
2013-03-26 109.675094227719
2013-03-27 110.298516124039
2013-03-28 110.545707407647
2013-03-29 110.80302145851
2013-04-01 110.158621994889
2013-04-02 110.687303126206
2013-04-03 110.725247805313
2013-04-04 111.616255194097
2013-04-05 111.002229864088
2013-04-08 110.1054476367
2013-04-09 109.979037210484
2013-04-10 110.549250140109
2013-04-11 111.174832146109
2013-04-12 110.753430720461
2013-04-15 109.121661279422
2013-04-16 110.127982945364
2013-04-17 109.492463628572
2013-04-18 108.37101993815
2013-04-19 109.132972219214
2013-04-22 109.374074768465
2013-04-23 110.250852166866
2013-04-24 111.188966451059
2013-04-25 111.61778358031
2013-04-26 111.361845479434
2013-04-29 111.990860102061
2013-04-30 112.190431383437
2013-05-01 111.138387381509
2013-05-02 111.173736542329
2013-05-03 112.357165853036
2013-05-06 112.448475167145
2013-05-07 113.641626669555
2013-05-08 114.35265594103
2013-05-09 113.843628639314
2013-05-10 114.721052624122
2013-05-13 115.348737064501
2013-05-14 116.07497880744
2013-05-15 117.009246052131
2013-05-16 117.216420810585
2013-05-17 118.218066622908
2013-05-20 118.709508160642
2013-05-21 119.078540961451
2013-05-22 118.981139986407
2013-05-23 116.225323080099
2013-05-24 116.847299636966
2013-05-27 116.186445817164
2013-05-28 116.933443930015
2013-05-29 116.229753698609
2013-05-30 115.138708581019
2013-05-31 113.809543344935
2013-06-03 113.49647654356
2013-06-04 113.523318113484
2013-06-05 110.981458130903
2013-06-06 111.04009877606
2013-06-07 112.010359124488
2013-06-10 112.984224436533
2013-06-11 111.688883988391
2013-06-12 110.699792757813
2013-06-13 109.933030756308
2013-06-14 110.115666833215
2013-06-17 111.600883955037
2013-06-18 112.11510333628
2013-06-19 111.185186206363
2013-06-20 108.489281109702
2013-06-21 109.4701799301
2013-06-24 109.038411808316
2013-06-25 109.615191865651
