time value.DAX value.Dow.Jones value.Nikkei value.VXX
2009-02-02 100 100 100 100
2009-02-03 102.433129192213 102.111048981115 100.096920930048 95.3189474854073
2009-02-04 105.191943835111 99.6595934057859 102.050708179234 95.6738588599802
2009-02-05 105.606367367515 100.539876056381 100.524707221964 95.0887263885913
2009-02-06 108.747046166476 104.104698646905 102.360290824431 93.7170234509777
2009-02-09 109.266590371105 103.154883457262 98.0412234981774 95.2805773076022
2009-02-10 105.490465972192 98.1404124824492 97.8476624828179 100.335729951412
2009-02-11 106.065262854821 99.1372938491081 97.8476624828179 98.8681052350272
2009-02-12 103.196411617625 99.1755206765184 96.7333182030531 98.5707454614203
2009-02-13 103.332914154402 98.5199172822738 98.0836343856309 97.8321322488255
2009-02-17 98.7253703898138 95.4355117815026 95.4740305540142 102.724217120583
2009-02-18 98.4528340311351 96.3868797461287 94.5632416983446 103.808154646919
2009-02-19 98.6928224158472 95.7651119999872 94.7245296013849 103.865706262878
2009-02-20 93.9972436535615 94.1123385216114 91.5809395079229 108.700239518677
2009-02-23 92.1660746575829 89.5595945887923 90.1559429925683 114.513186813235
2009-02-24 91.2131463162806 92.4602264185997 88.5227871072247 103.67386267535
2009-02-25 90.0532405662142 92.0415294747332 89.6085471206247 103.069541449317
2009-02-26 92.3105398450703 90.4702615787161 87.8597288808319 104.095920043204
2009-02-27 89.9954098978654 89.4510780813727 88.7113554078469 104.239806407088
2009-03-02 86.8657290524642 86.1768609903481 86.1677768474971 111.645083358754
2009-03-03 86.4126755380202 86.2192738422979 86.2266072527722 111.17506142078
2009-03-04 91.1005259953265 88.06983238933 86.589938442094 103.414865763058
2009-03-05 86.5243583823963 84.8493072744641 87.6777084371191 109.640290696121
2009-03-06 85.8434919485895 84.982937030197 84.1923789765546 108.757791134635
2009-03-09 86.4433485822445 83.5072618499005 83.3710664256634 109.179855833972
2009-03-10 91.0078094447009 88.4028930450694 82.7993325603133 101.045560047034
2009-03-11 91.6427863531906 88.1738932740742 86.2431694820248 100.297359773607
2009-03-12 92.6289600395853 90.9863525114174 84.2442646123874 98.5515567067764
2009-03-13 92.5676196406175 90.9980606359382 89.0997618608543 100
2009-03-16 94.6968420353879 90.0941114785279 88.9974786735178 103.520381934144
2009-03-17 93.367657141741 92.1542483299484 91.4016646772042 99.9328540217119
2009-03-18 93.5678436986903 93.049598770671 91.1579246995617 100.182256541689
2009-03-19 94.6715536281115 91.3224052878795 90.42008298808 104.882490494436
2009-03-20 95.2634476110562 86.7541801843073 90.42008298808 111.232613036739
2009-03-23 97.7834456915518 92.4040758773775 92.246385346095 104.191849168451
2009-03-24 98.0407541199358 90.7063422256223 94.4968692703208 105.899282042483
2009-03-25 98.8820053297562 92.006450322791 93.2548201257121 104.211030591612
2009-03-26 99.7267662701956 94.757188501317 95.7876867100065 100.105516171086
2009-03-27 98.419817342293 92.469156224107 94.8497717275232 102.935249462755
2009-03-30 93.4018399165843 91.3653021111544 92.6548968387259 110.589928934398
2009-03-31 95.6385323645054 92.9876483872362 92.3532369592818 108.594723347591
2009-04-01 96.7228072384736 94.3605466355804 93.3264655998938 106.637887938588
2009-04-02 102.596086245681 97.3590442395838 97.6086096542878 104.892084871758
2009-04-03 102.667972998602 97.0632791709952 96.9070691623436 103.040765633841
2009-04-06 101.844281937906 95.4553461321705 95.8051624164325 103.616303742901
2009-04-07 101.204857845633 93.1429385805092 94.9722274903342 103.606716682069
2009-04-08 102.03416222294 94.9353028031488 93.8915867246759 101.467624731378
2009-04-09 105.152845114782 98.5993214235002 98.5168117888398 97.7074346395856
2009-04-13 105.152845114782 98.6377871775976 98.7808815405232 96.278180101006
2009-04-14 106.695552474075 96.6232511380403 97.4264090573094 96.3453260942869
2009-04-15 106.52651338912 97.3842303073133 96.4657484660477 94.0047961637527
2009-04-16 107.923595164405 99.134717942804 97.841074205996 91.0407709005145
2009-04-17 109.501194118869 99.4397207307111 99.6269792571695 88.9496435049502
2009-04-20 105.039984735203 97.0228950870107 100.93789079641 95.5299725110892
2009-04-21 105.398915530981 99.1135443726151 99.4932260137631 92.1534769258362
2009-04-22 107.571455197028 98.3694641063481 100.459848213117 92.345320528357
2009-04-23 106.255383221894 99.1261242205896 101.709790702614 91.9232631455103
2009-04-24 109.442191628211 100.017026978938 99.7197550469698 91.7122308033383
2009-04-27 109.904608271924 97.8132944471247 99.2154355002006 94.3117503146815
2009-04-28 107.875830709345 98.3988135262384 97.702500383553 93.15107971924
2009-04-29 110.150221399037 101.325687321877 97.702500383553 89.227814523913
2009-04-30 111.669526659757 99.7611340243076 100.899584721531 89.9376519360247
2009-05-01 111.669526659757 99.818649456889 100.986554198907 88.7865684014151
2009-05-04 114.783522285776 102.493214138506 100.986554198907 84.0575513316953
2009-05-05 113.626417469415 101.97476214128 100.986554198907 84.7769757896462
2009-05-06 114.274507296418 102.690126770465 100.986554198907 81.860907765045
2009-05-07 112.480802196479 102.026366998441 104.806267670336 83.0407671001377
2009-05-08 115.05160001147 103.698322365992 104.44766826167 79.2805770083458
2009-05-11 113.951405548975 99.6551867669383 102.983976189571 79.9904070889746
2009-05-12 113.651705876691 100.398349930747 101.927779182364 79.5779367819526
2009-05-13 110.689898006831 98.164007798165 103.315739837929 82.0431643067339
2009-05-14 110.944176868673 98.5188712297189 101.4530414963 78.580333973556
2009-05-15 110.921460738851 98.2166136827357 104.423047141757 80.0287772817725
2009-05-18 113.601369144177 101.716887932063 102.974814805895 74.7050333333561
2009-05-19 116.122070308693 101.472541288548 105.594528289638 73.2565973566225
