time value
2012-12-31 100
2013-01-02 102.635606833979
2013-01-03 102.345751010654
2013-01-04 103.757792434164
2013-01-07 103.036558242819
2013-01-08 102.618681892649
2013-01-09 103.093291572639
2013-01-10 103.853039084468
2013-01-11 103.950656483597
2013-01-14 103.538340622515
2013-01-15 102.328411288709
2013-01-16 101.830085177362
2013-01-17 102.839465396666
2013-01-18 103.793986807087
2013-01-22 103.213020625458
2013-01-23 103.080907750924
2013-01-24 104.062556855553
2013-01-25 105.323492068614
2013-01-28 103.370198387272
2013-01-29 104.013728062494
2013-01-30 104.222208775636
2013-01-31 103.473834600842
2013-02-01 104.384642332696
2013-02-04 101.860440154076
2013-02-05 102.140538380679
2013-02-06 103.427728841915
2013-02-07 102.588254073188
2013-02-08 102.823143083469
2013-02-11 103.138551949049
2013-02-12 104.582097463086
2013-02-13 103.779455774853
2013-02-14 103.637869760323
2013-02-15 103.494061265446
2013-02-19 105.252990004276
2013-02-20 104.759985310705
2013-02-21 103.209281494005
2013-02-22 105.294472299043
2013-02-25 105.52396425881
2013-02-26 104.077575766536
2013-02-27 106.379550965588
2013-02-28 107.455387090502
2013-03-01 107.021432761062
2013-03-04 107.609685379833
2013-03-05 109.216803909515
2013-03-06 110.271622519767
2013-03-07 110.616297338767
2013-03-08 111.8155143229
2013-03-11 111.808867894103
2013-03-12 111.473974178658
2013-03-13 111.138442614621
2013-03-14 112.607939198176
2013-03-15 113.196932588287
2013-03-18 111.192901503781
2013-03-19 112.731850106472
2013-03-20 113.428621376871
2013-03-21 113.201228648554
2013-03-22 112.248023082073
2013-03-25 112.654555890667
2013-03-26 112.996408389759
2013-03-27 113.270623115525
2013-03-28 113.155523800621
2013-04-01 112.580079596404
2013-04-02 113.476381561812
2013-04-03 113.908134579122
2013-04-04 114.845415538413
2013-04-05 113.802302884147
2013-04-08 113.128108880802
2013-04-09 112.696229818739
2013-04-10 113.798756141274
2013-04-11 114.806301882144
2013-04-12 113.946751431599
2013-04-15 112.230515863533
2013-04-16 113.156328287223
2013-04-17 111.956625363569
2013-04-18 110.459735681133
2013-04-19 111.529779833447
2013-04-22 111.973393406417
2013-04-23 113.316179991007
2013-04-24 115.058072747474
2013-04-25 115.629427250007
2013-04-26 115.308220836185
2013-04-29 115.914001557564
2013-04-30 116.515208122382
2013-05-01 115.570665926182
2013-05-02 115.679510107432
2013-05-03 117.081062715066
2013-05-06 117.169280197125
2013-05-07 118.755595958905
2013-05-08 119.669077478132
2013-05-09 119.150655763594
2013-05-10 120.474431158831
2013-05-13 120.791931024523
2013-05-14 121.41375361937
2013-05-15 122.631502910489
2013-05-16 122.647378071386
2013-05-17 123.685762973763
2013-05-20 124.385004650945
2013-05-21 124.794172995544
2013-05-22 125.336695784912
2013-05-23 120.733908314866
2013-05-24 121.389620228651
2013-05-28 121.876465601152
2013-05-29 120.692329518555
2013-05-30 118.997761423864
2013-05-31 118.245749403964
2013-06-03 116.96035733029
2013-06-04 117.52164363281
2013-06-05 114.444856025371
2013-06-06 113.988838739619
2013-06-07 115.455497584195
2013-06-10 117.664348047324
2013-06-11 115.664109024342
2013-06-12 114.577421380932
2013-06-13 112.81669056557
2013-06-14 113.732250325246
2013-06-17 115.871324524351
2013-06-18 116.071360806015
2013-06-19 115.742378171333
2013-06-20 112.028142456993
2013-06-21 112.409885065147
2013-06-24 111.226001581268
2013-06-25 111.991452548214
2013-06-26 112.853936153624
2013-06-27 115.171188766997
2013-06-28 116.120885062205
2013-07-01 116.773777944378
2013-07-02 116.664953695961
2013-07-03 116.163366664981
2013-07-05 117.960273987909
2013-07-08 118.964544563991
2013-07-09 120.721490739805
2013-07-10 120.643224568815
2013-07-11 122.271165731996
2013-07-12 121.522079506921
2013-07-15 121.780625006904
2013-07-16 121.560911799272
2013-07-17 121.779025727665
2013-07-18 122.842392484108
2013-07-19 122.169167075142
2013-07-22 121.988026521886
2013-07-23 122.494162692745
2013-07-24 122.462405632369
2013-07-25 121.457568919195
2013-07-26 119.968475502524
2013-07-29 118.761102267036
2013-07-30 119.69526431112
2013-07-31 119.133441757227
2013-08-01 121.259195937827
2013-08-02 122.619743841439
2013-08-05 121.577163774371
2013-08-06 121.378760735759
2013-08-07 119.474200989832
2013-08-08 119.466514445475
2013-08-09 119.305657800504
2013-08-12 119.28884488308
2013-08-13 120.7846827209
2013-08-14 120.777619962797
2013-08-15 118.736838172554
2013-08-16 118.47137537461
2013-08-19 118.245765096767
2013-08-20 116.71872847414
2013-08-21 116.277042825767
2013-08-22 116.737105810517
2013-08-23 117.904266535597
2013-08-26 117.210398662963
2013-08-27 115.337306918241
2013-08-28 114.834383737072
2013-08-29 115.541903917647
2013-08-30 114.993642907142
2013-09-03 117.443687455642
2013-09-04 117.97529273624
2013-09-05 118.233270468752
2013-09-06 117.684833821869
2013-09-09 119.524526240469
2013-09-10 121.122084402136
2013-09-11 121.342842066894
2013-09-12 120.866656140591
2013-09-13 121.392654812677
2013-09-16 122.272840926344
2013-09-17 121.937271448849
2013-09-18 123.179651778764
2013-09-19 124.071502971418
2013-09-20 122.402628080512
2013-09-23 121.840768482099
2013-09-24 121.999478920271
2013-09-25 121.765933510498
2013-09-26 122.552618919287
2013-09-27 121.958703585754
2013-09-30 120.391451659167
2013-10-01 121.449625427985
2013-10-02 119.718957943697
2013-10-03 119.197993725544
2013-10-04 118.826433107204
2013-10-07 117.814416273288
2013-10-08 117.255761241933
2013-10-09 117.734589722383
2013-10-10 120.342467686165
2013-10-11 121.403446479027
2013-10-14 121.043187874184
2013-10-15 120.942897935815
2013-10-16 122.338503658904
2013-10-17 122.746557733661
2013-10-18 122.668138144515
2013-10-21 122.749854363761
2013-10-22 123.284709637657
2013-10-23 121.878670739367
2013-10-24 122.544579907603
2013-10-25 121.529224792728
2013-10-28 122.312048845778
2013-10-29 122.537980116818
2013-10-30 122.923070786646
2013-10-31 122.276039183125
2013-11-01 122.414025482968
2013-11-04 123.268377237229
2013-11-05 123.503449120986
2013-11-06 124.523852400044
2013-11-07 123.733014664851
2013-11-08 124.068540224906
2013-11-11 125.291878044511
2013-11-12 125.907240622414
2013-11-13 125.587048610441
2013-11-14 126.975178914759
2013-11-15 127.907458866652
2013-11-18 127.788721419221
2013-11-19 127.463509822176
2013-11-20 127.244571746295
2013-11-21 128.37069214376
2013-11-22 128.936137170238
2013-11-25 128.988320572476
2013-11-26 128.653173221756
2013-11-27 128.823588443389
2013-11-29 128.99653119563
2013-12-02 128.610415763725
2013-12-03 127.733738614578
2013-12-04 126.330357685723
2013-12-05 125.24079108145
2013-12-06 126.586300992762
2013-12-09 126.792478681385
2013-12-10 126.0126565965
2013-12-11 124.857791047444
2013-12-12 123.895585718383
2013-12-13 123.959547300796
2013-12-16 124.343370615085
2013-12-17 124.320072587591
2013-12-18 126.635159993726
2013-12-19 128.081317215131
2013-12-20 128.618305744315
2013-12-23 129.325565004485
2013-12-24 129.543629784472
2013-12-26 130.634816144121
2013-12-27 130.869747463571
2013-12-30 130.431931171203
2013-12-31 130.57024692728
2014-01-02 129.371970511701
2014-01-03 129.858719739551
2014-01-06 129.73369794191
2014-01-07 130.232070258948
2014-01-08 130.752129983213
2014-01-09 129.639147441816
2014-01-10 130.101171361576
2014-01-13 129.468851881479
2014-01-14 129.002817004057
2014-01-15 131.192326519176
2014-01-16 130.687310719616
2014-01-17 130.893883797881
2014-01-21 131.538863043811
2014-01-22 131.349065840058
2014-01-23 130.015030886123
2014-01-24 126.733342427779
2014-01-27 125.579946238036
2014-01-28 126.089161561028
2014-01-29 126.149226024725
2014-01-30 125.642303498098
2014-01-31 124.869870267107
2014-02-03 123.310178523487
2014-02-04 121.545522694381
2014-02-05 121.963623307717
2014-02-06 123.343203901664
2014-02-07 124.81368637781
2014-02-10 124.64955261022
2014-02-11 126.174349846669
2014-02-12 126.522686668843
2014-02-13 126.440960919987
2014-02-14 126.483708372573
2014-02-18 127.685468727374
2014-02-19 126.719301655088
2014-02-20 125.843634141847
2014-02-21 127.319727100979
2014-02-24 127.530037335593
2014-02-25 128.040717419459
2014-02-26 127.657102356602
2014-02-27 127.515512447687
2014-02-28 128.159376227093
2014-03-03 124.92611177143
2014-03-04 127.350799453111
2014-03-05 127.530467023688
2014-03-06 128.246978649635
2014-03-07 127.347596454219
2014-03-10 125.548444494369
2014-03-11 125.836569902401
2014-03-12 124.24396044184
2014-03-13 122.779288054524
2014-03-14 121.30367432078
2014-03-17 122.838898133065
2014-03-18 123.753853667424
2014-03-19 123.648240112091
2014-03-20 123.425004578457
2014-03-21 123.883589942294
2014-03-24 123.910774838582
2014-03-25 124.684468657628
2014-03-26 124.924860371776
2014-03-27 125.463242178122
2014-03-28 126.784683279483
2014-03-31 127.25847682444
2014-04-01 127.49606437055
2014-04-02 127.846757993034
2014-04-03 128.063889689251
2014-04-04 128.061778318986
2014-04-07 126.499081182642
2014-04-08 125.872149386707
2014-04-09 125.5997739079
2014-04-10 124.502177021075
2014-04-11 122.16142746784
2014-04-14 122.470308167547
2014-04-15 122.459199389273
2014-04-16 124.932291622497
2014-04-17 125.149239511559
2014-04-21 125.546378501058
2014-04-22 126.226613315846
2014-04-23 126.404908755198
2014-04-24 125.93008141031
2014-04-25 124.935416771768
2014-04-28 125.050972516855
2014-04-29 125.862923301514
2014-04-30 126.016239234909
2014-05-01 126.602537479713
2014-05-02 126.010570242952
2014-05-05 125.955926719305
2014-05-06 125.371238325277
2014-05-07 124.676419518377
2014-05-08 125.51512591215
2014-05-09 125.720255099335
2014-05-12 127.350186468411
2014-05-13 128.347152001309
2014-05-14 128.0914578292
2014-05-15 127.100551088804
2014-05-16 126.729960546459
2014-05-19 126.845544178769
2014-05-20 126.557639197429
2014-05-21 127.234949759975
2014-05-22 128.341738360172
2014-05-23 129.088612535202
2014-05-27 130.741529633753
2014-05-28 130.656129721048
2014-05-29 131.06125433172
2014-05-30 131.167006074473
2014-06-02 131.934090595888
2014-06-03 131.969146429258
2014-06-04 132.040966160377
2014-06-05 132.404513317419
2014-06-06 132.99810704155
2014-06-09 133.056212550594
2014-06-10 132.949159261089
2014-06-11 132.892058092716
2014-06-12 132.474067157959
2014-06-13 132.900282717836
2014-06-16 132.26825738342
2014-06-17 132.740416362876
2014-06-18 133.41675856523
2014-06-19 134.427085952564
2014-06-20 134.157421254201
2014-06-23 133.89633414097
2014-06-24 133.696804326881
2014-06-25 133.196645109756
2014-06-26 132.889553020093
2014-06-27 132.406032111095
2014-06-30 132.578757275923
2014-07-01 133.71310636958
2014-07-02 133.72071624633
2014-07-03 134.565227280709
2014-07-07 134.189475956836
2014-07-08 133.071272969422
2014-07-09 133.502071054382
2014-07-10 132.239899423279
2014-07-11 132.277460524266
2014-07-14 133.708123965796
2014-07-15 133.566239581508
2014-07-16 134.456620927944
2014-07-17 133.648643106292
2014-07-18 133.735237298264
2014-07-21 133.135771700723
2014-07-22 134.27516403354
2014-07-23 134.357546135591
2014-07-24 134.664605088112
2014-07-25 133.988266250017
2014-07-28 134.186840197082
2014-07-29 134.495391235784
2014-07-30 134.159206403622
2014-07-31 132.208440901132
2014-08-01 130.564726170219
2014-08-04 130.289772501982
2014-08-05 129.573428566284
2014-08-06 128.995321693061
2014-08-07 128.837821406453
2014-08-08 128.020520959569
2014-08-11 129.786020631625
2014-08-12 129.414908460432
2014-08-13 130.6750823945
2014-08-14 131.259522046163
2014-08-15 130.444671677297
2014-08-18 131.573712051613
2014-08-19 132.672111395274
2014-08-20 132.901189380652
2014-08-21 133.930952676606
2014-08-22 133.376806855691
2014-08-25 134.71329795327
2014-08-26 135.133237077776
2014-08-27 135.197279520367
2014-08-28 134.43308212553
2014-08-29 134.425491488257
2014-09-02 135.436965501098
2014-09-03 136.006095157623
2014-09-04 136.107504436437
2014-09-05 136.858107022278
2014-09-08 137.801902753233
2014-09-09 137.363715033448
2014-09-10 137.5289794176
2014-09-11 137.421514754044
2014-09-12 137.004560480468
2014-09-15 136.643422659438
2014-09-16 136.965616356948
2014-09-17 137.145993641527
2014-09-18 138.514335627699
2014-09-19 139.229548299256
2014-09-22 138.531793279885
2014-09-23 137.346869552916
2014-09-24 138.00544131598
2014-09-25 137.227437655674
2014-09-26 137.706304585456
2014-09-29 137.794087212916
2014-09-30 137.473531668085
2014-10-01 136.266855776147
2014-10-02 134.440789043721
2014-10-03 135.462437765451
2014-10-06 136.497363712318
2014-10-07 134.548509922401
2014-10-08 134.273479100073
2014-10-09 132.751372510974
2014-10-10 130.336814559638
2014-10-13 130.385098751965
2014-10-14 129.251911278342
2014-10-15 127.917589680365
2014-10-16 126.936923816771
2014-10-17 128.041722549103
2014-10-20 129.269621763807
