time value.Minimum.Variance value.Maximum.Sharpe value.Fixed.Weights value.Fixed.Weights.Leveraged value.Black.Litterman value.Equal.Risk value.Min.Variance.Robust value.Maximum.Sharpe.Robust value.MV.Max.Allocation value.MV.Max.Allocation...Short.Constraint
2012-12-31 100 100 100 100 100 100 100 100 100 100
2013-01-02 100.000335714286 100 101.564807564476 102.635606833979 101.83387396715 100.000223809524 100 100 100.00055952381 100.000261111111
2013-01-03 99.8646878461559 99.6745671697225 101.315051672144 102.345751010654 101.537923149887 99.8291521534567 99.7379736573233 99.8584028537968 99.9358807297818 99.8272706961586
2013-01-04 100.688259053565 100.922756399449 102.487436247485 103.757792434164 102.577557547418 100.680783129368 101.005092935785 101.049285569317 100.277017039246 100.81910230626
2013-01-07 100.338066224967 100.572314334923 101.812641178659 103.036558242819 102.068622605577 100.215455505447 100.410319183595 99.9832803194578 100.129387455959 100.394416195958
2013-01-08 100.09365958181 100.15599106027 101.346544774616 102.618681892649 101.618336481659 99.8957121335801 99.9636676398484 99.47468149521 100.019087167016 100.120194199836
2013-01-09 100.35213098765 100.48559352749 101.79996991253 103.093291572639 101.992243428678 100.212915270841 100.393262252072 100.086014041247 100.129204090818 100.425029805618
2013-01-10 100.812798517513 101.261940742837 102.347420873299 103.853039084468 102.51353406428 100.626209620473 101.061243962317 100.451430010729 100.316756359201 100.99088228171
2013-01-11 100.828595562364 101.198228100271 102.412192126587 103.950656483597 102.524137672044 100.668062472754 101.08995166387 100.666711956115 100.322567638916 101.022420821808
2013-01-14 100.375568181459 100.162775327614 101.930287018856 103.538340622515 101.909102871224 100.297773005721 100.408127901509 100.768579255551 100.130507329394 100.553101889717
2013-01-15 99.7365135849777 99.4859098255749 100.812310779521 102.328411288709 101.069221013997 99.514040912407 99.3743226525911 99.0795256940587 99.8663679239394 99.7899988046914
2013-01-16 99.2782154003908 99.0325591343235 100.222822158684 101.830085177362 100.693115754215 99.0733799351333 98.7493412114608 98.2127033994708 99.6922215919284 99.3184981617821
2013-01-17 99.8899574135783 100.090920674667 101.190034332635 102.839465396666 101.63600796831 99.7596214710879 99.7664730154065 99.0996900257673 99.9578936821556 100.028656115923
2013-01-18 100.338615746597 100.544929759626 101.68962472053 103.793986807087 101.935125296352 100.146741607605 100.339763367235 99.792961850566 100.124858804766 100.645637351675
2013-01-21 99.7320487658512 99.995937005961 101.008129994829 100 101.56340057329 99.6194419144818 99.5739470807119 98.7583593126976 100 100
2013-01-22 99.891946981657 100.306178051949 100.993345413908 103.213020625458 101.568162164603 99.6450100544824 99.7075104599396 98.4579033994747 99.9563505722957 100.181514557596
2013-01-23 99.6932291873879 100.290193189376 100.724314459917 103.080907750924 101.497267243048 99.4440298603784 99.4652101703606 97.8190930700048 99.8884060855976 100.007990256209
2013-01-24 100.262052712835 101.036929669642 101.663520976462 104.062556855553 102.274861799251 100.108025611232 100.384623069679 99.0296785286507 100.127385601902 100.670398136257
2013-01-25 100.827552234317 101.856023306223 102.865983547816 105.323492068614 103.355217852809 100.921320113253 101.453262878989 100.621756627715 100.385772258165 101.369991673286
2013-01-28 99.6728214312918 100.279819872968 101.201753806251 103.370198387272 101.97965691246 99.7136921910486 99.7000356753718 98.6845882031045 99.9152100937314 99.993831680873
2013-01-29 99.9626103288111 100.810288441014 101.632281269066 104.013728062494 102.416464766537 100.022639793724 100.173168235759 99.0157555285814 100.040913727512 100.385782103628
2013-01-30 100.414846596182 101.082590714427 102.153657369709 104.222208775636 102.627553670005 100.425433916179 100.723542533859 99.9915216470821 100.202070347642 100.772399997766
2013-01-31 99.9940090475434 100.303272696383 101.477018748864 103.473834600842 101.938757711303 99.9478247374081 100.007502043113 99.427851930768 100.017213713435 100.268455589516
2013-02-01 100.262858730891 100.915399546757 102.029279096561 104.384642332696 102.563247938738 99.9481033586743 100.549475040288 99.8552890179309 100.017910260823 100.702825509204
2013-02-04 99.3412437925747 99.2449694251565 100.062308801233 101.860440154076 100.601244788118 98.6365947213186 98.7371292538701 97.689222585409 99.5668416690443 99.4154906865124
2013-02-05 99.3380863884576 99.6785389653347 100.086466195868 102.140538380679 100.880773731445 98.6386468775221 98.833743918072 97.1580883205245 99.6306525146251 99.5008989537508
2013-02-06 100.411711098178 100.855842828416 101.250365346986 103.427728841915 101.618063969984 99.5696531495048 100.207451384499 98.6399550447561 99.8968827513025 100.681514499333
2013-02-07 99.8006283829809 100.078978756495 100.452116065823 102.588254073188 101.004235635199 98.9684075163956 99.3336596410569 97.6893648378541 99.7131114218654 99.9988382255983
2013-02-08 99.7464226571614 100.380208619895 100.560159930376 102.823143083469 101.340351388559 99.0040164470011 99.4220520788621 97.4422810014954 99.7729353250536 100.007384551381
2013-02-11 99.9781564547642 100.902216787786 100.761388345766 103.138551949049 101.606847550521 99.1714080650615 99.7455247143413 97.3172459097835 99.8608939435638 100.286893775603
2013-02-12 100.819214379285 101.835526818786 102.044445874047 104.582097463086 102.553788757369 100.103178647871 101.016405922133 99.1401814571167 100.122182506326 101.279437063528
2013-02-13 100.150390414421 101.034414123226 101.329202586717 103.779455774853 102.065356191035 99.5304154003525 100.151995651945 98.3237041386199 99.9495151278726 100.540770699175
2013-02-14 100.206673813795 100.861824610007 101.121259266898 103.637869760323 101.705181963513 99.4381293404281 100.037893716424 98.2200444952988 99.8949145766042 100.581975736663
2013-02-15 100.212958738992 101.049693773558 100.943858954687 103.494061265446 101.635179760611 99.3388539767547 99.9860199688962 97.6538232511311 99.8966970470122 100.578070121969
2013-02-18 100.709684153806 101.57348102842 101.785954166539 100 102.261058573112 99.935897636485 100.774829836799 98.9201829459537 100 100
2013-02-19 100.804714558688 102.069558074914 102.35127605689 105.252990004276 103.006540406166 100.261451684332 101.213668339939 99.3765341473881 100.20010946337 101.420098006994
2013-02-20 100.803002038278 101.71132073234 102.316274162689 104.759985310705 102.765995538582 100.250512567844 101.123506792031 99.7836597382382 100.146813401716 101.268663570305
2013-02-21 100.235063896588 100.788876351454 100.982897622761 103.209281494005 101.500800952867 99.3736209731121 99.9648801405153 98.0866191330393 99.8671027719619 100.499772729935
2013-02-22 101.350431630875 102.757954345388 102.729666965296 105.294472299043 103.226260073422 100.616497718972 101.818652019285 99.6216042901543 100.320130508825 101.872594209743
2013-02-25 101.638863603341 102.661200762216 103.659380997323 105.52396425881 103.787290047087 101.213378673722 102.425841015712 101.68910298525 100.420219679326 102.039726133047
2013-02-26 101.109695819469 102.239022751993 102.173428175054 104.077575766536 102.62486978072 100.252953147264 101.306547498817 99.0868853927582 100.186224143784 101.37281859026
2013-02-27 102.238263506788 104.345093513372 103.918332318671 106.379550965588 104.414862164211 101.495519272896 103.193093151072 100.448956188972 100.657109939135 102.826138755571
2013-02-28 102.861773371679 104.925111475778 105.077481468761 107.455387090502 105.255088092807 102.302495859223 104.220933289049 102.326981855047 100.864170650443 103.525486889063
2013-03-01 102.727998038684 104.74292971588 104.759503160804 107.021432761062 104.973960100796 102.302741184675 103.952810162186 101.873584256931 100.864783953559 103.324752366613
2013-03-04 103.00157001293 105.415718139129 105.008443968011 107.609685379833 105.33247422475 102.506386430472 104.351843979203 101.672218667765 100.977417243829 103.719325770512
2013-03-05 103.483088712498 106.467250909082 106.314882961429 109.216803909515 106.734615777997 103.363374433388 105.47846488535 103.07557936263 101.248854091952 104.433903215254
2013-03-06 104.059850441346 107.123939237308 107.317181621469 110.271622519767 107.513423226279 104.051735808036 106.41675186302 104.526757339409 101.473473182454 105.113192419122
2013-03-07 104.165171149119 107.340192086885 107.529207653772 110.616297338767 107.740337106473 104.19643261885 106.622066656835 104.71723553652 101.525107043203 105.279994439045
2013-03-08 104.797322048074 108.224871956261 108.569734282585 111.8155143229 108.633167258636 104.920955947819 107.653041400359 105.984414300327 101.778269265815 106.05056158759
2013-03-11 104.679615614682 108.327237494552 108.354002535836 111.808867894103 108.601293946697 104.779381101494 107.502355132116 105.35558773946 101.750099770897 105.981264376231
2013-03-12 104.564052518126 108.196329730684 108.118432221119 111.473974178658 108.412116525685 104.621617319651 107.296248875513 105.000246491883 101.702453394627 105.813633480306
2013-03-13 104.306508987727 107.895741841928 107.779811385977 111.138442614621 108.16707073705 104.377273980286 106.932065533637 104.560058057262 101.612900877883 105.532285655423
2013-03-14 104.99941484783 108.980178543236 109.04731084086 112.607939198176 109.336536342865 105.247261331039 108.150727475117 106.029066408243 101.911377664913 106.403844060181
2013-03-15 105.429806973868 109.443809071467 109.588017692214 113.196932588287 109.699900548705 105.640694428114 108.738120537344 106.76903038843 102.057130647 106.886210724581
2013-03-18 104.320550617568 107.787561163285 107.981597900407 111.192901503781 108.28823874088 104.494344618411 107.021788962193 105.081607878155 101.627649334176 105.524371405533
2013-03-19 105.555200962735 109.410848216597 109.406550310306 112.731850106472 109.377302532742 105.55614570782 108.699806076785 106.587955998812 102.055001161061 106.889441869162
2013-03-20 105.694675007177 109.761281114043 109.78624391842 113.428621376871 109.811644905989 105.806249421155 109.03574493702 106.936039085695 102.137672277555 107.167220334351
2013-03-21 105.808615687112 109.618639248537 109.710756283072 113.201228648554 109.540015563358 105.778467792244 109.025135541368 107.08340489869 102.135289671925 107.211990056641
2013-03-22 105.260757896776 109.268400922912 108.81185810644 112.248023082073 109.012115116272 105.161640318107 108.21526624367 105.44029206191 101.949096606768 106.576876008462
2013-03-25 105.542934406209 109.112158609738 109.125403945957 112.654555890667 108.942655361181 105.385973763031 108.487912498231 106.457938375545 102.005710360092 106.898562003677
2013-03-26 105.703526600166 109.675094227719 109.316187240524 112.996408389759 109.294679648974 105.53505480775 108.778503016608 106.199288349885 102.089249202357 107.124201251125
2013-03-27 106.192479010487 110.298516124039 109.616662762191 113.270623115525 109.457038234865 105.802834064913 109.30220830112 106.340420376483 102.231906104611 107.608580783524
2013-03-28 106.124862255329 110.545707407647 109.489131493827 113.155523800621 109.545006567164 105.723613637263 109.251002483903 105.723888536705 102.230053103172 107.538791671012
2013-03-29 100 110.80302145851 109.86116379497 100 109.793600940947 100 109.625887445847 106.285378876696 100 100
2013-04-01 100 110.158621994889 108.972613216109 112.580079596404 109.185882932479 100 108.72294186784 104.980858546891 100 100
2013-04-02 105.86731192078 110.687303126206 109.655818225028 113.476381561812 110.051150631798 106.431824834831 109.236509346428 105.621165511198 102.326745721403 107.376342978906
2013-04-03 106.400279238692 110.725247805313 110.218594185553 113.908134579122 110.084643520855 106.828233661569 109.802339925296 107.05042545556 102.503505648147 107.892691225638
2013-04-04 107.13742817342 111.616255194097 111.002616135027 114.845415538413 110.624298777669 107.407623413701 110.754016356765 107.931167406051 102.778889393899 108.72359441394
2013-04-05 106.879711790731 111.002229864088 110.055400155829 113.802302884147 109.602244860131 106.785242397906 110.011959830826 106.795200454443 102.623692175104 108.327841760269
2013-04-08 106.29716206409 110.1054476367 109.300742253096 113.128108880802 108.932341441676 106.23908212553 109.151320927154 106.106633783274 102.390216414421 107.711578752462
2013-04-09 106.059037149458 109.979037210484 108.840309970069 112.696229818739 108.64998064603 105.931330348616 108.768151070356 105.231123099027 102.292927652145 107.442763210924
2013-04-10 106.248943568084 110.549250140109 109.744735618217 113.798756141274 109.674055069228 106.519994299309 109.445041249075 106.288517865247 102.427418393026 107.801771126782
2013-04-11 106.735173811699 111.174832146109 110.656690512606 114.806301882144 110.438038951143 107.14402790196 110.285012485165 107.538958321518 102.639115704902 108.399923531548
2013-04-12 106.461869546794 110.753430720461 109.779307967056 113.946751431599 109.612092068192 106.56904650144 109.60953503689 106.26281432221 102.492083153569 108.036951116827
