time value.DAX value.Dow.Jones value.Nikkei value.VXX value.mixed
2013-01-02 7.87963655973809 32.5 26.7638787776063 -2.14351533734436 35.0002611111111
2013-01-03 7.8570070656032 32.3554899901144 26.7638787776063 -2.14962875023465 35.0005236130694
2013-01-04 7.87719564887618 32.7135551420717 27.3328691272759 -2.10530650678005 35.0007888948159
2013-01-07 7.83291896072716 32.7466578169799 26.9167979232263 -2.10301407246827 35.0010555674932
2013-01-08 7.79561135759043 32.6284896428309 26.7718030057923 -2.07703204858013 35.0013222422022
2013-01-09 7.82057096947153 32.6718838879021 27.0126030993403 -2.08161707003901 35.0015889189431
2013-01-10 7.80841538192049 32.9593442380585 27.2516870790017 -2.03041723708284 35.001852819812
2013-01-11 7.8155664836878 32.8857093755049 27.3410325321781 -2.02201123704545 35.0021236674826
2013-01-14 7.82973811088798 32.36908295 27.3410325321781 -1.98915177649105 35.0024000731417
2013-01-15 7.77543316126702 32.3744967352193 26.6273042324758 -1.98991597220675 35.002680647936
2013-01-16 7.79085022160464 32.3590533788254 26.113520888432 -1.94788616306394 35.002959835984
2013-01-17 7.83575506696077 32.7115672214702 26.4366752316269 -1.95858459741312 35.0032431932779
2013-01-18 7.80209423834702 32.7520090143446 26.9204960766853 -1.83249547565532 35.0035334979536
2013-01-22 7.79599616601257 32.9291786352374 26.233047398293 -1.78053144698345 35.003823805037
2013-01-23 7.80747314560333 33.0729782858771 25.8558130879861 -1.73238837778567 35.004114114528
2013-01-24 7.8485892624721 33.1983377580284 26.3613865276445 -1.74232261641914 35.0044072045311
2013-01-25 7.95985374349391 33.3279457709502 26.8312730748775 -1.75378538021492 35.0047044641796
2013-01-28 7.93455977394384 32.9727541631215 25.8826663803965 -1.801164253697 35.0050156171082
2013-01-29 7.95033147050936 33.1695726073633 26.0074562463854 -1.74690777160893 35.0053295509784
2013-01-30 7.9125886092103 33.0551565331683 26.6536624851225 -1.85465667380028 35.0056490440656
2013-01-31 7.87687118382954 32.7735490878954 26.4720698904711 -1.86000589097487 35.0059713182949
2013-02-01 7.93495496931554 33.0213657626914 26.5046922180184 -1.7644838145641 35.0062963737428
2013-02-04 7.73726443807479 32.5381601806001 26.0194339205257 -1.88598789575859 35.0066200430704
2013-02-05 7.76403729793791 32.8888950656845 25.6498289136519 -1.80880603891428 35.0069437153907
2013-02-06 7.67947494746713 33.0664447706771 26.7279632527509 -1.7996358622656 35.0072673907036
2013-02-07 7.6892702460907 32.9076492835241 26.1870872698112 -1.79275825365961 35.0075896798319
2013-02-08 7.75135494901331 33.1576876179134 25.8472789687196 -1.75684201024241 35.0079050259771
2013-02-11 7.73271647969271 33.4257171319431 25.8472789687196 -1.72703917971549 35.0082203749628
2013-02-12 7.75950912378754 33.4941568740293 26.7266998648971 -1.70946313676033 35.0085343375741
2013-02-13 7.81187964536122 33.32647480477 26.1122011257206 -1.7186331796781 35.0088483030011
2013-02-14 7.73013312053918 33.202323413776 26.3337722826097 -1.69341535150566 35.0091622712439
2013-02-15 7.69196439835992 33.3909279782504 26.1645988499911 -1.67889595768239 35.0094748530498
2013-02-19 7.85296559003575 33.6276652767524 26.5359845347507 -1.60629927513228 35.0097818805872
2013-02-20 7.8291099526679 33.3436178363422 26.8304620740441 -1.74461520356624 35.0100889108172
2013-02-21 7.68189557875715 33.1592942050607 26.4264274043387 -1.77823901267166 35.0103945544506
2013-02-22 7.76125164245747 33.8376572922797 26.9808568368182 -1.7178689839624 35.0106974221495
2013-02-25 7.8739742398932 33.4156664987053 27.6923274287852 -1.95323538023853 35.0109933459015
2013-02-26 7.6956111728829 33.6534062448542 26.9176083793846 -1.90509231104075 35.0112851041794
2013-02-27 7.77535204500536 34.4374880943018 27.3799607640471 -1.77823901267166 35.0115768648886
2013-02-28 7.84207620952128 34.3522341013848 28.1510406194154 -1.83173127993962 35.0118672386809
2013-03-01 7.80810130281045 34.3384598718965 28.0252794403632 -1.85924169525916 35.0121534468019
2013-03-04 7.79140764949966 34.698556529726 27.979118718925 -1.76219122741699 35.012434099778
2013-03-05 7.97235358133626 35.0374949969049 28.1139282080328 -1.70258554725875 35.0127119762391
2013-03-06 8.02200917572862 35.0717980693039 28.7173867136446 -1.71099139446082 35.0129898549056
2013-03-07 8.04271413443856 35.1506709399739 28.7491809565102 -1.67583932765491 35.0132677357774
2013-03-08 8.090019826853 35.3354211270627 29.2644875783027 -1.65291395289866 35.0135470082701
2013-03-11 8.08781138349928 35.5241148213326 28.9396499653958 -1.58413807698733 35.0138262829903
2013-03-12 8.06940587702706 35.5254614041784 28.8132523486063 -1.60859170944407 35.014105559938
2013-03-13 8.07425802189684 35.4810118637432 28.5620498182988 -1.59942166652629 35.0143876180106
2013-03-14 8.16285195632571 35.7499617481681 29.0452139281558 -1.56885464028368 35.0146710678151
2013-03-15 8.14713071051334 35.7985247362008 29.4929270068051 -1.56732624885228 35.0149545199142
2013-03-18 8.11456396379051 35.342890171693 28.7007696439325 -1.64909312715548 35.0152407532726
2013-03-19 8.05083813803152 35.7485029592624 29.723665520559 -1.64909312715548 35.0155283784645
2013-03-20 8.10572079410644 35.8839908768289 29.723665520559 -1.56197703167769 35.0158201745343
2013-03-21 8.03535974667691 35.7271533014678 30.0396629210766 -1.60629927513228 35.0161133625524
2013-03-22 8.01392573026649 35.9069449908433 29.2405432341711 -1.6009500579577 35.0164121111387
2013-03-25 7.97295107202192 35.5717448218747 29.9174738882908 -1.58031725124414 35.0167094727336
2013-03-26 7.98183480084978 35.9108475843183 29.7535650755765 -1.53905165692144 35.0170054473017
