time value.DAX value.Dow.Jones value.Nikkei value.VIX
2012-02-01 50 50 50 -50
2012-02-02 50.2946340226512 49.956553140442 50.3804305931428 -48.4691938865756
2012-02-03 51.1337308807308 50.5731567922482 50.1256536699626 -45.9050908839604
2012-02-06 51.1198277217113 50.5059187949894 50.67771283692 -45.3884424991622
2012-02-07 51.0395008278504 50.6359483476378 50.6114191798164 -45.8285524200421
2012-02-08 50.998389108856 50.6585568409513 51.1680176490526 -46.8427101486683
2012-02-09 51.3009598862517 50.6841526672267 51.0922518819861 -49.1197873339008
2012-02-10 50.5767264232282 50.3333101675308 50.7797000972318 -53.3295095275632
2012-02-13 50.9206340036443 50.6195909808362 51.0748817404365 -49.2920035418964
2012-02-14 50.8429490019883 50.6362632072774 51.375062696883 -50.7462710718081
2012-02-15 51.0677609865002 50.2535699172481 52.5570972917939 -53.6165352253515
2012-02-16 51.0225720395711 50.7377057670744 52.4308727455701 -51.5499452739889
2012-02-17 51.7485433936937 50.9177481654322 53.2598954144042 -50.8993517070694
2012-02-20 52.5062543914499 50.9177481654322 53.8326668513694 -50.8993517070694
2012-02-21 52.2030821758744 50.9799522420719 53.7074066981632 -50.8228095357265
2012-02-22 51.717110008215 50.8737099856465 54.2237667282958 -49.3876774589548
2012-02-23 51.4570825978714 51.0546585678036 54.4596992069132 -46.1729811286088
2012-02-24 51.8724763162981 51.047816117132 54.7537446425629 -47.9334099290431
2012-02-27 51.7604097863604 51.0421524772337 54.6774080049106 -48.430922741107
2012-02-28 52.0477896665759 51.1349862968361 55.1802000272393 -47.7611937210474
2012-02-29 51.8093770859704 50.9263991382924 55.1842903801127 -46.9192522004168
2012-03-01 55.5004072019793 55.5004072019793 55.5004072019793 -55.5004072019793
2012-03-02 55.3373071683973 55.48873659535 55.8986785130714 -55.8222850003942
2012-03-05 54.8982929099669 55.4256234774782 55.4502073310595 -55.6153652110382
2012-03-06 53.0326267438006 54.5548294638787 55.101678057143 -59.8457197608793
2012-03-07 53.3364419764572 54.8891055999162 54.7496591888123 -56.8568799237395
2012-03-08 54.6430887381561 55.1910172157916 55.8525377358219 -54.7187110182683
2012-03-09 55.0082260533624 55.2512158129178 56.7717744100183 -53.6611244643724
2012-03-12 55.1772443597058 55.4123703504896 56.543767270753 -51.2010822150035
2012-03-13 55.9332650444767 56.3443525687696 56.5964796471354 -48.8559935201763
2012-03-14 56.600937123066 56.4145599072298 57.4623116084847 -50.4423776618431
2012-03-15 57.1208631104665 56.6653755778184 57.8783100468512 -49.706664451845
2012-03-16 57.2277551353394 56.5792636437956 57.9157575573728 -49.5687149559297
2012-03-19 57.1989757657129 56.6070977207597 57.9852813935412 -46.5798795733069
2012-03-20 56.4052163040411 56.3123304371637 57.9852813935412 -44.4187190372851
2012-03-21 56.5361757241604 56.1174835564431 57.6679686133974 -42.2115798383733
2012-03-22 55.8161331590462 55.7819213543109 57.9000348520504 -42.7173814847707
2012-03-23 55.9309461427329 55.929822764894 57.2390503135061 -39.7745247650379
2012-03-26 56.5994185106207 56.6177870746336 57.2777596540314 -36.0269845418665
2012-03-27 56.5967794915585 56.4300845261925 58.6322573218146 -39.5446176559543
2012-03-28 55.9563681861407 56.1242813184912 58.2172917965795 -39.8434995129956
2012-03-29 54.9677701848798 56.2081301110634 57.829768429651 -39.6365795799455
2012-03-30 55.5408630624668 56.4912685491978 57.6512129892261 -38.5789931697437
2012-04-02 65.5521757155735 65.5521757155735 65.5521757155735 -65.5521757155735
2012-04-03 64.8613205583423 65.2312446931403 65.1665056614176 -66.7624875955057
2012-04-04 63.0199745245307 64.6144928540338 63.6726009231265 -68.2460952262319
2012-04-05 62.9382249179757 64.5422895243412 63.3329709190722 -69.7297101774061
2012-04-06 62.9382249179757 64.5422895243412 62.819698200305 -69.7297101774061
2012-04-09 62.9382249179757 63.8971215954971 61.8977385827222 -74.1024536588123
2012-04-10 61.3698961637702 62.8412281655613 61.8443090800277 -80.0368985785982
2012-04-11 62.0043616417696 63.2833329818019 61.3302638601181 -78.2409523194976
2012-04-12 62.6407820779392 64.1787633146537 61.7585293445637 -71.4866130708965
2012-04-13 61.1606030146585 63.501767234739 62.4925169218323 -75.3127731032074
2012-04-16 61.5441634759851 63.8566981539916 61.4074193990531 -74.1414967804076
2012-04-17 63.1773367296088 64.8160743514606 61.3689714388257 -70.237257825354
2012-04-18 62.5366435231144 64.4069318146358 62.682299924242 -71.2523609297277
2012-04-19 61.9717579650682 64.0676664215158 62.1708444959329 -71.7599088216905
2012-04-20 62.7046921918858 64.3896833242362 61.9956504505726 -69.3783279394065
2012-04-23 60.5948783248402 63.8851625115547 61.8712201240838 -71.6818296549329
2012-04-24 61.2210794900523 64.2527909082055 61.3905635914129 -69.9249191969796
2012-04-25 62.2809078229176 64.6934141191534 61.9933772586513 -65.6692980039264
2012-04-26 62.60975233532 65.2563018176353 61.9986961436363 -63.3657965324149
2012-04-27 63.1803077086622 65.3733734244794 61.7332392950148 -63.2096308784517
2012-04-30 62.8075244222028 65.3008274461042 61.7332392950148 -64.6151517779574
2012-05-01 62.6132196926822 62.6132196926822 62.6132196926822 -62.6132196926822
2012-05-02 62.14629691459 62.562532451477 62.8094088594686 -63.3171796511659
2012-05-03 61.9950692707953 62.2702888299392 62.8094088594686 -64.6859897717277
2012-05-04 60.7636791251012 61.476643034146 62.8094088594686 -67.384492883542
2012-05-07 60.8378549994677 61.3364196905635 61.0610346843445 -66.3285528236014
2012-05-08 59.6826800688915 60.975996019628 61.4796016537958 -66.9543007666074
