time value.DAX value.Dow.Jones value.Nikkei
2012-02-01 0.740043048226904 0.251968671159583 0.00798828061351251
2012-02-02 0.740797499808698 0.251160372126981 0.00804212806432111
2012-02-03 0.742286030571304 0.249847679138463 0.00786629029023352
2012-02-06 0.742378131665601 0.249709233885941 0.00791263444845832
2012-02-07 0.74073210798377 0.2513368641546 0.00793102786162949
2012-02-08 0.741388690232724 0.250630408626457 0.00798090114081901
2012-02-09 0.743971073405783 0.248165719107704 0.00786320748651299
2012-02-10 0.742788344067512 0.249335064408718 0.00787659152376991
2012-02-13 0.741928052333718 0.250203748798836 0.00786819886744648
2012-02-14 0.74209104524703 0.250003830938211 0.00790512381475894
2012-02-15 0.743103496028559 0.248825473447984 0.00807103052345669
2012-02-16 0.740752493575999 0.25124153030979 0.00800597611421138
2012-02-17 0.741465532641183 0.250476188799621 0.00805827855919578
2012-02-20 0.744294237326256 0.247803380718727 0.0079023819550175
2012-02-21 0.745640102162531 0.246464097850602 0.00789579998686723
2012-02-22 0.744418923819085 0.247574267349328 0.00800680883158713
2012-02-23 0.742716642198908 0.249252267486476 0.00803109031461535
2012-02-24 0.744938634099794 0.247066828713335 0.00799453718687138
2012-02-27 0.747026396562038 0.245149557920175 0.00782404551778698
2012-02-28 0.747295762636138 0.244800530838784 0.00790370652507805
2012-02-29 0.747204691784847 0.244821086505834 0.00797422170931863
2012-03-01 0.740043048226904 0.251968671159583 0.00798828061351251
2012-03-02 0.73792344506916 0.254013971972427 0.00806258295841391
2012-03-05 0.734787603897927 0.257175877785941 0.0080365183161314
2012-03-06 0.731141436055913 0.260602048451642 0.00825651549244462
2012-03-07 0.730623516414943 0.261173367949674 0.00820311563538247
2012-03-08 0.733647281334455 0.258096593903575 0.00825612476197034
2012-03-09 0.73567367400931 0.256065792572308 0.00826053341838132
2012-03-12 0.73464250871759 0.257225856053384 0.00813163522902513
2012-03-13 0.734061262623727 0.257891352995706 0.00804738438056697
2012-03-14 0.736258248377479 0.255677101455942 0.00806465016657893
2012-03-15 0.736089286215295 0.25589895381873 0.00801175996597499
2012-03-16 0.736696423672584 0.255321408782987 0.00798216754442907
2012-03-19 0.73832812375254 0.253711610155431 0.00796026609202928
2012-03-20 0.736730944187977 0.255214231569158 0.00805482424286447
2012-03-21 0.738446851666996 0.253582945390281 0.00797020294272277
2012-03-22 0.737328103930811 0.254604224041835 0.00806767202735357
2012-03-23 0.736631105378745 0.255324318444992 0.00804457617626363
2012-03-26 0.737624754220891 0.254388433477414 0.00798681230169466
2012-03-27 0.738330879840093 0.253532142558807 0.00813697760109976
2012-03-28 0.738108335035001 0.253782775191362 0.00810888977363676
2012-03-29 0.734097952175055 0.257732800192319 0.0081692476326259
2012-03-30 0.734819352319241 0.25705391608439 0.0081267315963692
2012-04-02 0.740043048226904 0.251968671159583 0.00798828061351251
2012-04-03 0.738852074084987 0.253111721840593 0.00803620407441973
2012-04-04 0.734921070779432 0.25697956052627 0.00809936869429788
2012-04-05 0.732776060300116 0.259135027730201 0.00808891196968238
2012-04-06 0.73276901832831 0.259132537444754 0.00809844422693648
2012-04-09 0.733571303383546 0.258372369198023 0.00805632741843116
2012-04-10 0.7315435693885 0.260194028009962 0.0082624026015379
2012-04-11 0.732562929872564 0.25930825447488 0.00812881565255558
2012-04-12 0.731913238981024 0.259955618079978 0.00813114293899749
2012-04-13 0.729766755945046 0.261866591937966 0.00836665211698796
2012-04-16 0.729000731534504 0.262793743561235 0.00820552490426082
2012-04-17 0.730936196625533 0.261015402976803 0.00804840039766433
2012-04-18 0.73114819256318 0.260583792765137 0.00826801467168307
2012-04-19 0.730185050613838 0.261607945843109 0.00820700354305282
2012-04-20 0.731753552226053 0.260169660579865 0.00807678719408194
2012-04-23 0.727845086748998 0.263922136818903 0.00823277643209975
2012-04-24 0.728080221821713 0.263769123543056 0.00815065463523103
2012-04-25 0.730229165295439 0.261650251933837 0.00812058277072365
2012-04-26 0.730134577281797 0.261830706811875 0.00803471590632794
2012-04-27 0.731922524564892 0.260115170128135 0.00796230530697345
2012-04-30 0.731317425803007 0.26067963170102 0.00800294249597389
2012-05-01 0.740043048226904 0.251968671159583 0.00798828061351252
2012-05-02 0.73885320364867 0.253076362310468 0.00807043404086271
2012-05-03 0.738423586181374 0.253490997292263 0.00808541652636312
2012-05-04 0.736389620882832 0.255383832098455 0.00822654701871238
2012-05-07 0.736153940513054 0.255751481006639 0.00809457848030688
2012-05-08 0.732589801800049 0.259103636462915 0.00830656173703628
2012-05-09 0.735151478767606 0.256682755025204 0.00816576620718982
2012-05-10 0.735295691651698 0.256571385433075 0.00813292291522622
2012-05-11 0.737363136938348 0.254600583289365 0.00803627977228634
2012-05-14 0.734944839283933 0.256865268773615 0.00818989194245184
2012-05-15 0.733667711744315 0.258127743693442 0.00820454456224305
2012-05-16 0.73282934750472 0.259014120192507 0.00815653230277352
2012-05-17 0.731526521878173 0.260144970172894 0.00832850794893284
2012-05-18 0.731537242499882 0.260299276227742 0.00816348127237576
2012-05-21 0.732058918978776 0.259759434101984 0.00818164691924041
2012-05-22 0.73532743129906 0.256525215651173 0.00814735304976681
2012-05-23 0.730828998819195 0.261078816033406 0.0080921851473992
2012-05-24 0.729230818308518 0.262635694358243 0.00813348733323938
2012-05-25 0.730012633986056 0.26180378669274 0.00818357932120392
2012-05-28 0.729477812225721 0.262304988797619 0.00821719897665972
2012-05-29 0.729797578164121 0.262019914553562 0.00818250728231731
2012-05-30 0.727972964264603 0.263713819336918 0.00831321639847813
