time value.DAX value.Dow.Jones value.Nikkei value.VXX
2012-12-31 36 36 36 -8
2013-01-02 36.7868786570575 36.9031135125769 36 -7.05438533565522
2013-01-03 36.6812305794463 36.7390252264688 36 -7.074504795261
2013-01-04 36.7754830183108 37.1456011940867 36.7653469348861 -6.92863871311912
2013-01-07 36.5687728303566 37.1831886331546 36.205691009441 -6.92109423013351
2013-01-08 36.3945985192482 37.0490109856409 36.0106588516958 -6.83558646393566
2013-01-09 36.5111249867618 37.0982843010764 36.3345582176944 -6.85067593289337
2013-01-10 36.4543753992834 37.4246898989899 36.6561492448893 -6.68217545869499
2013-01-11 36.487761039723 37.3410789546422 36.7763275023488 -6.65451101311712
2013-01-14 36.5539227118044 36.7544597662113 36.7763275023488 -6.54636935784925
2013-01-15 36.3003945729063 36.760607013303 35.8162940556729 -6.54888435317328
2013-01-16 36.372370675305 36.743071384564 35.1252058715097 -6.41056275401702
2013-01-17 36.5820134785874 37.1433439491755 35.5598796514833 -6.4457716825805
2013-01-18 36.4248645024485 37.189264812963 36.2106653827607 -6.03080789108469
2013-01-22 36.3963950362099 37.3904374477565 35.285980563054 -5.85979242156228
2013-01-23 36.4499764739265 37.5537191348527 34.7785640079315 -5.70135186578673
2013-01-24 36.6419312158278 37.6960623604119 35.4586090783393 -5.73404579902618
2013-01-25 37.1613806766194 37.8432297208118 36.0906518342101 -5.77177016302688
2013-01-28 37.0432932265778 37.4399166062759 34.8146842778971 -5.9276957234784
2013-01-29 37.1169249840039 37.6634000951751 34.9825386914121 -5.74913570809707
2013-01-30 36.9407186262293 37.5334828836771 35.8517484493789 -6.10374118364887
2013-01-31 36.7739682204887 37.2137231446343 35.6074888836496 -6.12134564793061
2013-02-01 37.045138236062 37.4951141255668 35.6513690626573 -5.80697909159037
2013-02-04 36.1222000358966 36.9464436503107 34.9986498191239 -6.20685335125516
2013-02-05 36.2471918346452 37.3446962434519 34.5014954134408 -5.95284511085893
2013-02-06 35.8524039656692 37.546300456297 35.9516901527788 -5.92266573283033
2013-02-07 35.89813430604 37.3659912905218 35.2241597545272 -5.90003127790052
2013-02-08 36.1879830085225 37.649904922413 34.7670847938704 -5.78182964133652
2013-02-11 36.1009674331146 37.9542471864425 34.7670847938704 -5.6837474643783
2013-02-12 36.226051596546 38.0319591732419 35.9499907741829 -5.62590408088501
2013-02-13 36.4705486628424 37.8415594675219 35.1234306632896 -5.65608301880042
2013-02-14 36.0889067601397 37.7005879944574 35.4214652536525 -5.5730902479266
2013-02-15 35.9107122278591 37.9147447837432 35.1939106594595 -5.52530640561626
2013-02-19 36.6623625428093 38.183555349875 35.6934602487564 -5.28638813716423
2013-02-20 36.5509900917471 37.8610250441391 36.0895609598175 -5.74159078499828
2013-02-21 35.8637049271874 37.651729170655 35.5460953347391 -5.85224793857667
2013-02-22 36.234186720848 38.4219971709746 36.2918564306966 -5.65356802347639
2013-02-25 36.7604435453017 37.9428348892349 37.2488530425721 -6.42816721829876
2013-02-26 35.9277375628285 38.2127837150375 36.2067811511928 -6.26972666252321
2013-02-27 36.3000158734508 39.1030932994472 36.8286897312668 -5.85224793857667
2013-02-28 36.6115243706932 39.0062890601237 37.8658665554454 -6.02829289576066
2013-03-01 36.4529090892547 38.9906486922973 37.6967056321166 -6.11883065260658
2013-03-04 36.3749730837002 39.3995313950475 37.6346150067036 -5.79943410561827
2013-03-05 37.2197374313318 39.7843893866808 37.8159467803307 -5.60326968882851
2013-03-06 37.4515595860349 39.8233398535907 38.627656711561 -5.63093363141989
2013-03-07 37.5482227757502 39.9128984535722 38.6704230367514 -5.51524692730662
2013-03-08 37.7690741758681 40.1226786728216 39.3635601765016 -5.43979870229171
2013-03-11 37.7587638351489 40.3369366672446 38.9266222363091 -5.21345484460005
2013-03-12 37.6728358703143 40.3384656856943 38.7566052427995 -5.29393262014984
2013-03-13 37.6954885984189 40.28799410304 38.4187135953962 -5.26375368223442
2013-03-14 38.1090983240551 40.5933814296286 39.0686159544446 -5.16315650995216
2013-03-15 38.0357021010627 40.648523751471 39.6708332550573 -5.1581265193041
2013-03-18 37.8836609566691 40.1311596267239 38.6053051490461 -5.42722422865804
2013-03-19 37.5861505065686 40.5917250033954 39.9811988251662 -5.42722422865804
2013-03-20 37.8423757263612 40.7455688803659 39.9811988251662 -5.14052205502235
2013-03-21 37.5138880741262 40.5674828850862 40.4062458265057 -5.28638813716423
2013-03-22 37.4138212049444 40.7716328272906 39.3313527227202 -5.26878367288248
2013-03-25 37.2225268769091 40.3910196000634 40.2418897846614 -5.20088037096637
2013-03-26 37.2640014616739 40.7760641457522 40.0214166123402 -5.06507383000745
2013-03-27 36.8356362899849 41.0048697391725 40.545489754009 -5.11537266764182
2013-03-28 36.8650525095913 41.3036482336378 40.0795612701037 -5.09273821271201
2013-04-01 36.8650525095913 41.2778637919994 39.547505971807 -5.11034267699376
2013-04-02 37.5676126768646 41.5401331102401 39.3205378959259 -4.9519021212182
2013-04-03 37.24073449968 41.1371143631521 40.658232857565 -5.1279471412755
2013-04-04 36.969472119424 41.3559447346965 41.5574085717087 -5.03740988741606
2013-04-05 36.2192419250674 41.1632155780706 41.4773746651575 -5.05752928414853
2013-04-08 36.2376388975661 40.8449114474439 40.9622512883339 -4.91669275254154
2013-04-09 36.1187940486135 40.9747060773405 40.4540346417206 -4.85130494893595
2013-04-10 36.9375019839449 41.175984188397 40.4108282953322 -4.72555832639985
2013-04-11 37.2259790536272 41.2592877727023 41.0239589272848 -4.70292387147004
