time value.Minimum.Variance value.Maximum.Sharpe value.Fixed.Weights value.Fixed.Weights.Leveraged value.Black.Litterman value.Equal.Risk value.Min.Variance.Robust value.Maximum.Sharpe.Robust value.Mean.Variance.Max.Allocation value.Mean.Variance..Equity.Fund value.msci
2015-06-30 100 100 100 100 100 100 100 100 100 100 100
2015-07-01 100.300321687744 100.598298123144 100.661836537123 100.718181442181 100.719265694077 99.9999879884867 100.486303892852 100.605535763217 100.13423106351 100.293619607804 101.028516823417
2015-07-02 100.513733731495 100.818762214301 101.055389154261 101.069823737434 100.993912750762 100.220158713639 100.892307486087 100.877327900028 100.29116168235 100.636886218081 101.010285168234
2015-07-06 99.9708004954739 99.9437821430092 99.637262440061 99.6220543515786 99.7341928100591 99.2320463182648 99.8176959051056 99.8659322316002 99.9562183167583 99.9044645636004 100.255243172559
2015-07-07 100.370194592236 100.321530881356 100.185625114114 100.214957371688 100.092012196305 99.5211157738409 100.509006725471 100.302694689607 100.022325115067 100.04912015031 101.261756274204
2015-07-08 99.7864167467272 99.5965054147531 99.0344237201172 98.9814303163519 99.1806182140932 98.7990380899098 99.4215144501054 99.4573701426205 99.853424195185 99.6798307846566 99.0280641754262
2015-07-09 100.138210058428 100.246763644107 100.098428448126 100.047483535662 100.168464041262 99.5710961418238 100.144536627971 100.206434286427 100.140765772581 100.30831089778 99.8189408037017
2015-07-10 100.963310420306 101.676611356309 101.230226453251 101.250517468242 101.496020347817 100.593650526087 101.270915232025 101.548929909698 100.477069492355 101.043867689528 100.165342252175
2015-07-13 101.26706584516 102.252608258815 101.585829137667 101.682022559012 101.989296805789 100.97010925477 101.63512692596 102.061146795082 100.527660070197 101.154595129464 102.539229492531
2015-07-14 101.929216655398 103.18824806898 102.712588814499 102.823381859682 103.007219099509 101.768081035613 102.735623586163 103.050883762558 100.842163465629 101.842480892014 103.26283759996
2015-07-15 102.299980477389 103.723940292748 103.261331147116 103.378180772439 103.533467080526 102.17887984199 103.309411736495 103.591999129376 101.01185893334 102.213682146947 103.597922848665
