time value
2012-12-31 100
2013-01-02 101.83387396715
2013-01-03 101.537923149887
2013-01-04 102.577557547418
2013-01-07 102.068622605577
2013-01-08 101.618336481659
2013-01-09 101.992243428678
2013-01-10 102.51353406428
2013-01-11 102.524137672044
2013-01-14 101.909102871224
2013-01-15 101.069221013997
2013-01-16 100.693115754215
2013-01-17 101.63600796831
2013-01-18 101.935125296352
2013-01-21 101.56340057329
2013-01-22 101.568162164603
2013-01-23 101.497267243048
2013-01-24 102.274861799251
2013-01-25 103.355217852809
2013-01-28 101.97965691246
2013-01-29 102.416464766537
2013-01-30 102.627553670005
2013-01-31 101.938757711303
2013-02-01 102.563247938738
2013-02-04 100.601244788118
2013-02-05 100.880773731445
2013-02-06 101.618063969984
2013-02-07 101.004235635199
2013-02-08 101.340351388559
2013-02-11 101.606847550521
2013-02-12 102.553788757369
2013-02-13 102.065356191035
2013-02-14 101.705181963513
2013-02-15 101.635179760611
2013-02-18 102.261058573112
2013-02-19 103.006540406166
2013-02-20 102.765995538582
2013-02-21 101.500800952867
2013-02-22 103.226260073422
2013-02-25 103.787290047087
2013-02-26 102.62486978072
2013-02-27 104.414862164211
2013-02-28 105.255088092807
2013-03-01 104.973960100796
2013-03-04 105.33247422475
2013-03-05 106.734615777997
2013-03-06 107.513423226279
2013-03-07 107.740337106473
2013-03-08 108.633167258636
2013-03-11 108.601293946697
2013-03-12 108.412116525685
2013-03-13 108.16707073705
2013-03-14 109.336536342865
2013-03-15 109.699900548705
2013-03-18 108.28823874088
2013-03-19 109.377302532742
2013-03-20 109.811644905989
2013-03-21 109.540015563358
2013-03-22 109.012115116272
2013-03-25 108.942655361181
2013-03-26 109.294679648974
2013-03-27 109.457038234865
2013-03-28 109.545006567164
2013-03-29 109.793600940947
2013-04-01 109.185882932479
2013-04-02 110.051150631798
2013-04-03 110.084643520855
2013-04-04 110.624298777669
2013-04-05 109.602244860131
2013-04-08 108.932341441676
2013-04-09 108.64998064603
2013-04-10 109.674055069228
2013-04-11 110.438038951143
2013-04-12 109.612092068192
2013-04-15 108.391757533262
2013-04-16 108.951141509031
2013-04-17 107.982760544832
2013-04-18 106.982617755904
2013-04-19 107.516949837659
2013-04-22 107.781936737323
2013-04-23 109.003323862267
2013-04-24 110.262256390304
2013-04-25 110.852127502904
2013-04-26 110.582457633827
2013-04-29 111.214229708342
2013-04-30 111.588386603913
2013-05-01 110.858549019809
2013-05-02 110.980474152767
2013-05-03 112.361311116046
2013-05-06 112.381083976706
2013-05-07 113.609820772665
2013-05-08 114.41854428626
2013-05-09 114.074330241309
2013-05-10 114.934132192046
2013-05-13 115.324824272176
2013-05-14 116.002838797908
2013-05-15 116.90065380149
2013-05-16 117.034796306735
2013-05-17 117.86896954694
2013-05-20 118.490148051429
2013-05-21 118.84840631063
2013-05-22 119.142719432956
2013-05-23 115.936297080392
2013-05-24 116.312554406385
2013-05-27 115.939430350794
2013-05-28 116.923088705089
2013-05-29 115.867052237768
2013-05-30 114.978851885876
2013-05-31 114.032249874674
2013-06-03 113.311326818157
2013-06-04 113.547316221976
2013-06-05 111.184728377723
2013-06-06 110.798636322557
2013-06-07 112.049735113437
2013-06-10 113.325480497075
2013-06-11 111.961131621956
2013-06-12 111.042098052558
2013-06-13 109.920028164939
