time value.DAX value.Dow.Jones value.Nikkei value.VXX.Adjusted
2012-12-31 0.36 0.36 0.36 -0.08
2013-01-02 0.358422186917675 0.35955468721757 0.350755464994061 -0.0687323391293065
2013-01-03 0.358405016497733 0.358969716511673 0.351748847846672 -0.0691235808560782
2013-01-04 0.354435866025631 0.358003002209747 0.354338176173266 -0.0667770444086446
2013-01-07 0.354910659420297 0.36087374488507 0.351386843921142 -0.0671712482265089
2013-01-08 0.354658604534807 0.36103573250335 0.350917183767445 -0.066611520805602
2013-01-09 0.35415616699983 0.359851584280215 0.352443477780444 -0.0664512290604903
2013-01-10 0.351018860118611 0.360362009902772 0.352961738703433 -0.0643426087248167
2013-01-11 0.351010395451236 0.359219270159535 0.353786390066252 -0.0640160556770238
2013-01-14 0.353047214124035 0.354984052721227 0.35519525695732 -0.0632265238025815
2013-01-15 0.35474404533154 0.359241451619793 0.350013193839402 -0.0639986907907355
2013-01-16 0.357186882559842 0.360827267507113 0.344939374354158 -0.0629535244211126
2013-01-17 0.35571959983928 0.361177917503836 0.345780479452358 -0.0626779967954743
2013-01-18 0.350934246028607 0.358298837504752 0.348870551143412 -0.0581036346767719
2013-01-22 0.352633755079081 0.362264733859886 0.341875282296995 -0.056773771235961
2013-01-23 0.353605505318222 0.364313042581992 0.337390936563806 -0.0553094844640192
2013-01-24 0.352114461945133 0.362244245187413 0.340743204374256 -0.0551019115068016
2013-01-25 0.35283088270953 0.359304737979617 0.342664785655781 -0.0548004063449281
2013-01-28 0.358355636387546 0.362192558303977 0.336796144547051 -0.0573443392385736
2013-01-29 0.356846405521617 0.362100280383624 0.336326169084082 -0.0552728549893227
2013-01-30 0.354441908880987 0.360129413151059 0.343993366390444 -0.0585646884224902
2013-01-31 0.355393886409517 0.359643800659258 0.344120704727027 -0.0591583917958019
2013-02-01 0.354890694724913 0.359201442737735 0.341538451116486 -0.0556305885791351
2013-02-04 0.35462442515718 0.362716316505454 0.343594134937806 -0.0609348766004404
2013-02-05 0.354875668459388 0.365620710792298 0.33778454627734 -0.0582809255290256
2013-02-06 0.346642088800657 0.363019674479027 0.347602045943884 -0.0572638092235681
2013-02-07 0.349924410258796 0.36423264659387 0.343354705397341 -0.057511762250007
2013-02-08 0.351943948835973 0.366161778305587 0.33812509276873 -0.0562308199102897
2013-02-11 0.35002398958392 0.367992825856155 0.33709106960359 -0.0551078850436652
2013-02-12 0.34638865040293 0.363656496626165 0.343748993816768 -0.053794140845863
2013-02-13 0.351423587554402 0.36463439883148 0.338443003011009 -0.0545009893968912
2013-02-14 0.348221232678753 0.363772316834042 0.341781101209139 -0.0537746507219335
2013-02-15 0.346983312750226 0.366347057214211 0.340057296323437 -0.0533876662878727
2013-02-19 0.348326090701269 0.36277881842904 0.339120629706635 -0.0502255388369436
2013-02-20 0.348902207110294 0.361407315320329 0.344497575603703 -0.054807098034325
2013-02-21 0.347485268844456 0.364809527066053 0.344407933280728 -0.0567027291912367
2013-02-22 0.344122401961811 0.364900420051052 0.344670101272036 -0.0536929232848986
2013-02-25 0.348361093174461 0.359566048866167 0.352989515738955 -0.060916657779582
2013-02-26 0.345201522020658 0.367156742781515 0.347882633550295 -0.0602408983524685
2013-02-27 0.341231143993014 0.367580920811523 0.346200838384627 -0.0550129031891644
2013-02-28 0.340713717217901 0.362999846878515 0.352386861010084 -0.0561004251065001
2013-03-01 0.340613166435924 0.364325609238932 0.352235105245497 -0.0571738809203535
2013-03-04 0.338026943906642 0.366133691925386 0.349732599569115 -0.0538932354011429
2013-03-05 0.340787645298319 0.36426985557682 0.346246597837279 -0.0513040987124176
